NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Phases,Funder Type,Study Type,Results First Posted
NCT02082210,A Study of Emibetuzumab in Combination With Ramucirumab (LY3009806) in Participants With Advanced Cancer,https://clinicaltrials.gov/study/NCT02082210,COMPLETED,YES,Advanced Cancer|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma|Hepatocellular Cancer|Renal Cell Carcinoma|Non-Small Cell Lung Cancer,DRUG: Emibetuzumab|DRUG: Ramucirumab,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,11/24/2020
NCT00923273,Sirolimus and Pemetrexed to Treat Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00923273,TERMINATED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: FDG-PET|DRUG: Pemetrexed|DRUG: Sirolimus|DIETARY_SUPPLEMENT: Vitamin B12|DIETARY_SUPPLEMENT: Folic acid tablets|DRUG: Dexamethasone tablets,PHASE1|PHASE2,NIH,INTERVENTIONAL,5/24/2013
NCT00949910,An Expanded Access Program of Tarceva (Erlotinib) in Participants With Advanced Non-Small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT00949910,COMPLETED,YES,Non-Small Cell Lung Cancer,DRUG: Erlotinib,PHASE4,INDUSTRY,INTERVENTIONAL,8/9/2016
NCT00601146,Low-Dose Chest Computed Tomography Screening for Lung Cancer in Survivors of Hodgkin's Disease,https://clinicaltrials.gov/study/NCT00601146,COMPLETED,YES,Lung Cancer,PROCEDURE: chest computed tomography scan,NA,OTHER,INTERVENTIONAL,1/19/2016
NCT00459862,Pazopanib in Treating Patients With Malignant Pleural Mesothelioma,https://clinicaltrials.gov/study/NCT00459862,COMPLETED,YES,Advanced Malignant Mesothelioma|Localized Malignant Mesothelioma|Recurrent Malignant Mesothelioma,OTHER: laboratory biomarker analysis|DRUG: pazopanib hydrochloride,PHASE2,NIH,INTERVENTIONAL,10/7/2013
NCT00294762,Erlotinib (Tarceva) as a Single Agent or Intercalated With Combination Chemotherapy in Patients With EGFR Positive NSCLC,https://clinicaltrials.gov/study/NCT00294762,COMPLETED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: Tarceva|DRUG: carboplatin|DRUG: paclitaxel,PHASE2,INDUSTRY,INTERVENTIONAL,10/5/2010
NCT00702962,Carboplatin and Etoposide in Combination With Vorinostat for Patients With Extensive Stage Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00702962,TERMINATED,YES,Small Cell Lung Cancer,"DRUG: Vorinostat, Carboplatin, Etoposide",PHASE1|PHASE2,OTHER,INTERVENTIONAL,7/24/2017
NCT01433172,Combination Immunotherapy of GM.CD40L Vaccine With CCL21 in Lung Cancer,https://clinicaltrials.gov/study/NCT01433172,COMPLETED,YES,Lung Cancer|Adenocarcinoma,BIOLOGICAL: Phase I - GM.CD40L.CCL21 Vaccinations|BIOLOGICAL: Phase II - GM.CD40L cells Vaccinations|BIOLOGICAL: Phase II - GM.CD40L.CCL21 Vaccinations,PHASE1|PHASE2,OTHER,INTERVENTIONAL,11/1/2016
NCT00117962,"Pemetrexed Disodium, Carboplatin, and Radiation Therapy With or Without Cetuximab in Treating Patients With Stage III Non-Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT00117962,COMPLETED,YES,Lung Cancer,BIOLOGICAL: cetuximab|DRUG: carboplatin|DRUG: pemetrexed disodium|RADIATION: radiation therapy,PHASE2,OTHER,INTERVENTIONAL,11/5/2012
NCT01004510,Zometa Adjuvant Treatment of Malignant Pleural Effusion Due To Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01004510,TERMINATED,YES,Malignant Pleural Effusion|Non Small Cell Lung Cancer,DRUG: zoledronic acid,PHASE2,OTHER,INTERVENTIONAL,8/14/2012
NCT01378962,A Study of Tarceva (Erlotinib) in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer (TRIGGER),https://clinicaltrials.gov/study/NCT01378962,COMPLETED,YES,Non-Squamous Non-Small Cell Lung Cancer,DRUG: erlotinib,PHASE2,INDUSTRY,INTERVENTIONAL,9/30/2015
NCT01866410,Cabozantinib-S-Malate and Erlotinib Hydrochloride in Treating Patients With Previously Treated Metastatic Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01866410,COMPLETED,YES,Recurrent Non-Small Cell Lung Carcinoma|Stage IV Non-Small Cell Lung Cancer AJCC v7,DRUG: Cabozantinib S-malate|DRUG: Erlotinib Hydrochloride|OTHER: Laboratory Biomarker Analysis,PHASE2,NIH,INTERVENTIONAL,4/25/2019
NCT01667562,A Study of Erlotinib in Participants With Locally Advanced or Metastatic Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01667562,COMPLETED,YES,Non-Small Cell Lung Cancer,DRUG: Erlotinib,PHASE3,INDUSTRY,INTERVENTIONAL,8/23/2018
NCT01342965,A Study of Erlotinib (Tarceva) Versus Gemcitabine/Cisplatin as First-line Treatment in Patients With Non-small Cell Lung Cancer With EGFR Mutations,https://clinicaltrials.gov/study/NCT01342965,COMPLETED,YES,Non-Small Cell Lung Cancer,DRUG: Erlotinib|DRUG: Chemotherapy,PHASE3,INDUSTRY,INTERVENTIONAL,2/5/2015
NCT00251589,A Phase I/II Clinical Trial of Vorinostat in Combination With Erlotinib for Patients With Relapsed/Refractory Non-Small-Cell Lung Cancer (0683-025),https://clinicaltrials.gov/study/NCT00251589,TERMINATED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: Vorinostat|DRUG: Vorinostat|DRUG: Vorinostat|DRUG: Vorinostat|DRUG: erlotinib,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,10/27/2008
NCT00770588,"Assess the Efficacy, Safety and Tolerability of Gefitinib (Iressa® 250mg) as Maintenance Therapy in Locally Advanced or Metastatic (Stage IIIB/IV) Non Small Cell Lung Cancer (NSCLC)",https://clinicaltrials.gov/study/NCT00770588,COMPLETED,YES,Non-small Cell Lung Cancer (NSCLC),DRUG: Gefitinib|DRUG: Placebo,PHASE4,INDUSTRY,INTERVENTIONAL,1/17/2012
NCT01016938,Dynamic Magnetic Resonance Imaging (MRI) for Lung Tumor Motion and Lung Function (GCC 0943),https://clinicaltrials.gov/study/NCT01016938,COMPLETED,YES,Lung Cancer,,,OTHER,OBSERVATIONAL,12/2/2015
NCT03138889,Bempegaldesleukin and Pembrolizumab With or Without Chemotherapy in Locally Advanced or Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT03138889,TERMINATED,YES,Non-Small Cell Lung Cancer,DRUG: NKTR-214|DRUG: Pembrolizumab|DRUG: NKTR-214|DRUG: NKTR-214|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Nab paclitaxel|DRUG: Paclitaxel|DRUG: Pemetrexed|DRUG: Atezolizumab,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,12/7/2022
NCT00673738,Cetuximab Plus Conformal Thoracic Radiotherapy in Patients (Pts) With Inoperable or Unresectable Locally Advanced Non-Small Cell Lung Cancer (LA - NSCLC),https://clinicaltrials.gov/study/NCT00673738,COMPLETED,YES,Lung Cancer,DRUG: Cetuximab|RADIATION: Conformal Thoracic Radiotherapy (CTRT),PHASE2,OTHER,INTERVENTIONAL,9/18/2013
NCT00066365,Inhaled Sargramostim in Treating Patients With First Pulmonary (Lung) Recurrence of Osteosarcoma,https://clinicaltrials.gov/study/NCT00066365,COMPLETED,YES,Metastatic Cancer|Sarcoma,BIOLOGICAL: sargramostim|PROCEDURE: conventional surgery,PHASE2,NETWORK,INTERVENTIONAL,2/11/2015
NCT01831089,"Phase I Study of Lurbinectedin (PM01183) in Combination With Paclitaxel, With or Without Bevacizumab, in Selected Advanced Solid Tumors",https://clinicaltrials.gov/study/NCT01831089,COMPLETED,YES,Breast Cancer|Ovarian Cancer|Gynecological Cancer|Head and Neck Carcinoma|Non-small Cell Lung Cancer|Small Cell Lung Cancer|Non-squamous Cell Lung Cancer,DRUG: PM01183 + paclitaxel +/- bevacizumab,PHASE1,INDUSTRY,INTERVENTIONAL,9/26/2017
NCT01565538,Erlotinib Versus Pemetrexed as Second-Line Therapy in Treating Patients With Advanced Lung Adenocarcinoma,https://clinicaltrials.gov/study/NCT01565538,COMPLETED,YES,Lung Cancer,DRUG: Erlotinib|DRUG: Pemetrexed,PHASE2,OTHER,INTERVENTIONAL,9/3/2014
NCT00950365,Pemetrexed Disodium With or Without Erlotinib Hydrochloride in Treating Patients With Stage IIIB-IV or Recurrent Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00950365,COMPLETED,YES,Bronchioloalveolar Carcinoma|Large Cell Lung Carcinoma|Lung Adenocarcinoma|Recurrent Non-Small Cell Lung Carcinoma|Stage IIIB Non-Small Cell Lung Cancer|Stage IV Non-Small Cell Lung Cancer,DRUG: Erlotinib Hydrochloride|OTHER: Laboratory Biomarker Analysis|DRUG: Pemetrexed Disodium,PHASE2,OTHER,INTERVENTIONAL,7/17/2020
NCT01487265,Trial of Erlotinib and BKM120 in Patients With Advanced Non Small Cell Lung Cancer Previously Sensitive to Erlotinib,https://clinicaltrials.gov/study/NCT01487265,COMPLETED,YES,Non Small Cell Lung Cancer,DRUG: BKM120 and Erlotinib,PHASE2,OTHER,INTERVENTIONAL,8/17/2017
NCT03998189,Metabolic and Microbial Profiling of Lung Cancer,https://clinicaltrials.gov/study/NCT03998189,TERMINATED,YES,Nonsmall Cell Lung Cancer|Nonsmall Cell Lung Cancer Stage,OTHER: Breath Collection|OTHER: Saliva Collection|OTHER: Blood Collection|OTHER: Urine Collection|OTHER: Tumor Collection|OTHER: Medical History Data Collection,NA,OTHER,INTERVENTIONAL,9/9/2021
NCT01259089,Hsp90 Inhibitor AUY922 and Erlotinib Hydrochloride in Treating Patients With Stage IIIB-IV Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01259089,COMPLETED,YES,Adenocarcinoma of the Lung|Non-small Cell Lung Cancer,DRUG: erlotinib hydrochloride|DRUG: Hsp90 inhibitor AUY922|OTHER: laboratory biomarker analysis|PROCEDURE: needle biopsy|GENETIC: mutation analysis|OTHER: pharmacological study,PHASE1|PHASE2,OTHER,INTERVENTIONAL,10/22/2018
NCT04181788,"Sasanlimab (PF-06801591, PD-1 Inhibitor) in Participants With Advanced Malignancies",https://clinicaltrials.gov/study/NCT04181788,ACTIVE_NOT_RECRUITING,YES,Advanced Malignancies|Non-small-cell Lung Cancer,DRUG: PF-06801591,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,2/28/2023
NCT04081688,Atezolizumab and Varlilumab in Combination With Radiation Therapy for NSCLC,https://clinicaltrials.gov/study/NCT04081688,ACTIVE_NOT_RECRUITING,YES,Refractory Lung Non-Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8,DRUG: Atezolizumab 1200 MG in 20 ML Injection|RADIATION: Stereotactic Body Radiation Therapy|DRUG: Varlilumab 3 mg/kg,PHASE1,OTHER,INTERVENTIONAL,5/5/2023
NCT02535338,Erlotinib Hydrochloride and Onalespib Lactate in Treating Patients With Recurrent or Metastatic EGFR-Mutant Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT02535338,ACTIVE_NOT_RECRUITING,YES,Recurrent Lung Non-Small Cell Carcinoma|Stage IV Lung Non-Small Cell Cancer AJCC v7,DRUG: Erlotinib Hydrochloride|OTHER: Laboratory Biomarker Analysis|DRUG: Onalespib Lactate|OTHER: Pharmacological Study,PHASE1|PHASE2,NIH,INTERVENTIONAL,4/11/2022
NCT01045421,"Alisertib in Adults With Nonhematological Malignancies, Followed by Alisertib in Lung, Breast, Head and Neck or Gastroesophageal Malignancies",https://clinicaltrials.gov/study/NCT01045421,COMPLETED,YES,Advanced Nonhematological Malignancies|Non-Small Cell Lung Cancer|Small Cell Lung Cancer|Metastatic Breast Cancer|Head and Neck Squamous Cell Carcinoma|Gastroesophageal Adenocarcinoma,DRUG: MLN8237 (Alisertib),PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,7/22/2015
NCT01722292,A Study of LY2940680 in Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01722292,TERMINATED,YES,Small Cell Lung Carcinoma,DRUG: LY2940680|DRUG: Carboplatin|DRUG: Etoposide|DRUG: Placebo,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,10/16/2018
NCT03502330,"APX005M With Nivolumab and Cabiralizumab in Advanced Melanoma, Non-small Cell Lung Cancer or Renal Cell Carcinoma",https://clinicaltrials.gov/study/NCT03502330,ACTIVE_NOT_RECRUITING,YES,Advanced Melanoma|Non-small Cell Lung Cancer|Renal Cell Carcinoma,DRUG: APX005M|DRUG: Cabiralizumab|DRUG: Nivolumab,PHASE1,OTHER,INTERVENTIONAL,7/27/2023
NCT02481830,Effectiveness Study of Nivolumab Compared to Chemotherapy in Patients With Relapsed Small-cell Lung Cancer,https://clinicaltrials.gov/study/NCT02481830,COMPLETED,YES,Lung Cancer,DRUG: Nivolumab|DRUG: Topotecan|DRUG: Amrubicin,PHASE3,INDUSTRY,INTERVENTIONAL,8/13/2019
NCT00447421,"A Study to Treat Small Cell Lung Cancer With a Combination of Cisplatin, Pemetrexed, and Radiotherapy",https://clinicaltrials.gov/study/NCT00447421,TERMINATED,YES,"Small Cell Lung Cancer|Carcinoma, Small Cell|SCLC",DRUG: pemetrexed|DRUG: cisplatin|RADIATION: radiation,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,5/28/2009
NCT00565721,A Proof-of-concept Study to Assess the Ability of [18F]AH-111585 PET Imaging to Detect Tumours and Angiogenesis,https://clinicaltrials.gov/study/NCT00565721,COMPLETED,YES,High-grade Glioma|Lung Cancer|Head & Neck Cancer|Sarcoma|Melanoma,DRUG: Fluciclatide Injection - (AH111585 (F18)),PHASE2,INDUSTRY,INTERVENTIONAL,6/3/2014
NCT00695292,"Irinotecan, Carboplatin, and Sunitinib in First Line Extensive-Stage Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT00695292,COMPLETED,YES,Small Cell Lung Cancer,DRUG: irinotecan|DRUG: Carboplatin|DRUG: sunitinib,PHASE2,OTHER,INTERVENTIONAL,1/14/2013
NCT03220230,Validation of Molecular Diagnostic Thecnologies for Lung Cancer Patients.,https://clinicaltrials.gov/study/NCT03220230,COMPLETED,YES,Lung Neoplasms,,,INDUSTRY,OBSERVATIONAL,10/18/2019
NCT00864721,Sunitinib Non Small Cell Lung Cancer Patients Over 70,https://clinicaltrials.gov/study/NCT00864721,COMPLETED,YES,Non Small Cell Lung Cancer,DRUG: Sutent,PHASE2,INDUSTRY,INTERVENTIONAL,1/20/2016
NCT01828112,LDK378 Versus Chemotherapy in ALK Rearranged (ALK Positive) Patients Previously Treated With Chemotherapy (Platinum Doublet) and Crizotinib,https://clinicaltrials.gov/study/NCT01828112,ACTIVE_NOT_RECRUITING,YES,Non-Small Cell Lung Cancer,DRUG: Ceritinib|DRUG: pemetrexed|DRUG: docetaxel,PHASE3,INDUSTRY,INTERVENTIONAL,6/24/2017
NCT03875092,A Study of Carboplatin-Paclitaxel/Nab-Paclitaxel Chemotherapy With or Without Pembrolizumab (MK-3475) in Adults With First Line Metastatic Squamous Non-small Cell Lung Cancer (MK-3475-407/KEYNOTE-407)-China Extension Study,https://clinicaltrials.gov/study/NCT03875092,ACTIVE_NOT_RECRUITING,YES,Non-small Cell Lung Cancer,BIOLOGICAL: Pembrolizumab|DRUG: Paclitaxel|DRUG: Nab-paclitaxel|DRUG: Carboplatin|DRUG: Saline placebo for pembrolizumab,PHASE3,INDUSTRY,INTERVENTIONAL,9/21/2021
NCT01233921,Palifermin in Preventing Chronic Graft-Versus-Host Disease in Patients Who Have Undergone Donor Stem Cell Transplant for Hematologic Cancer,https://clinicaltrials.gov/study/NCT01233921,COMPLETED,YES,"Accelerated Phase Chronic Myelogenous Leukemia|Adult Acute Lymphoblastic Leukemia in Remission|Adult Acute Myeloid Leukemia in Remission|Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities|Adult Acute Myeloid Leukemia With Del(5q)|Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)|Adult Acute Myeloid Leukemia With t(15;17)(q22;q12)|Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)|Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)|Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative|Blastic Phase Chronic Myelogenous Leukemia|Chronic Eosinophilic Leukemia|Chronic Myelomonocytic Leukemia|Chronic Neutrophilic Leukemia|Chronic Phase Chronic Myelogenous Leukemia|de Novo Myelodysplastic Syndromes|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Graft Versus Host Disease|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable|Nodal Marginal Zone B-cell Lymphoma|Noncontiguous Stage II Adult Burkitt Lymphoma|Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma|Noncontiguous Stage II Adult Diffuse Mixed Cell Lymphoma|Noncontiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma|Noncontiguous Stage II Adult Immunoblastic Large Cell Lymphoma|Noncontiguous Stage II Adult Lymphoblastic Lymphoma|Noncontiguous Stage II Grade 1 Follicular Lymphoma|Noncontiguous Stage II Grade 2 Follicular Lymphoma|Noncontiguous Stage II Grade 3 Follicular Lymphoma|Noncontiguous Stage II Mantle Cell Lymphoma|Noncontiguous Stage II Marginal Zone Lymphoma|Noncontiguous Stage II Small Lymphocytic Lymphoma|Previously Treated Myelodysplastic Syndromes|Primary Myelofibrosis|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Acute Myeloid Leukemia|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Hairy Cell Leukemia|Refractory Multiple Myeloma|Relapsing Chronic Myelogenous Leukemia|Secondary Acute Myeloid Leukemia|Secondary Myelodysplastic Syndromes|Splenic Marginal Zone Lymphoma|Stage I Multiple Myeloma|Stage II Multiple Myeloma|Stage III Adult Burkitt Lymphoma|Stage III Adult Diffuse Large Cell Lymphoma|Stage III Adult Diffuse Mixed Cell Lymphoma|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|Stage III Adult Hodgkin Lymphoma|Stage III Adult Immunoblastic Large Cell Lymphoma|Stage III Adult Lymphoblastic Lymphoma|Stage III Chronic Lymphocytic Leukemia|Stage III Grade 1 Follicular Lymphoma|Stage III Grade 2 Follicular Lymphoma|Stage III Grade 3 Follicular Lymphoma|Stage III Mantle Cell Lymphoma|Stage III Marginal Zone Lymphoma|Stage III Multiple Myeloma|Stage III Small Lymphocytic Lymphoma|Stage IV Adult Burkitt Lymphoma|Stage IV Adult Diffuse Large Cell Lymphoma|Stage IV Adult Diffuse Mixed Cell Lymphoma|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|Stage IV Adult Hodgkin Lymphoma|Stage IV Adult Immunoblastic Large Cell Lymphoma|Stage IV Adult Lymphoblastic Lymphoma|Stage IV Chronic Lymphocytic Leukemia|Stage IV Grade 1 Follicular Lymphoma|Stage IV Grade 2 Follicular Lymphoma|Stage IV Grade 3 Follicular Lymphoma|Stage IV Mantle Cell Lymphoma|Stage IV Marginal Zone Lymphoma|Stage IV Small Lymphocytic Lymphoma",BIOLOGICAL: palifermin|OTHER: flow cytometry|OTHER: laboratory biomarker analysis|OTHER: pharmacological study,NA,OTHER,INTERVENTIONAL,12/20/2013
NCT00281021,Second Line Erlotinib (Tarceva) Plus Digoxin in Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00281021,TERMINATED,YES,"Carcinoma, Non-Small Cell Lung",DRUG: Erlotinib plus Digoxin,PHASE2,OTHER,INTERVENTIONAL,4/12/2013
NCT02357992,Lung Cancer STARS Trial - STARS Revised Clinical Trial Protocol: Stereotactic Ablative Radiotherapy (SABR) in Stage I Non-small Cell Lung Cancer Patients Who Can Undergo Lobectomy,https://clinicaltrials.gov/study/NCT02357992,COMPLETED,YES,Lung Cancer,RADIATION: Stereotactic Body Radiotherapy (SABR),NA,OTHER,INTERVENTIONAL,5/18/2022
NCT04159025,EBUS-Miniforceps Biopsy Specimen Acquisition for PD-L1 Testing in Nonsmall Cell Lung Cancer,https://clinicaltrials.gov/study/NCT04159025,COMPLETED,YES,Non Small Cell Lung Cancer|NSCLC,DEVICE: CoreDx Pulmonary Mini-Forceps,NA,OTHER,INTERVENTIONAL,1/27/2023
NCT00890825,AZD6244 in Combination With Docetaxel Versus Docetaxel Alone in KRAS Mutation Positive NSCLC Patients,https://clinicaltrials.gov/study/NCT00890825,COMPLETED,YES,Non Small Cell Lung Cancer,DRUG: AZD6244|DRUG: docetaxel|DRUG: Placebo,PHASE2,INDUSTRY,INTERVENTIONAL,6/14/2017
NCT03006562,PREvention of VENous ThromboEmbolism Following Radical Prostatectomy,https://clinicaltrials.gov/study/NCT03006562,TERMINATED,YES,Prostate Cancer|Venous Thromboembolism|Lymphocele After Surgical Procedure|Deep Venous Thrombosis|Pulmonary Embolism,DRUG: Subcutaneous Heparin,PHASE4,OTHER,INTERVENTIONAL,2/7/2020
NCT01230710,A Study of Tarceva (Erlotinib) in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer Following 4 Cycles of Platinum-based Chemotherapy Without Disease Progression,https://clinicaltrials.gov/study/NCT01230710,COMPLETED,YES,Non-Small Cell Lung Cancer,DRUG: Erlotinib,PHASE4,INDUSTRY,INTERVENTIONAL,2/5/2015
NCT02531646,Clinical Evaluation of CARESTREAM Dual Energy and Digital Tomosynthesis,https://clinicaltrials.gov/study/NCT02531646,COMPLETED,YES,Solitary Pulmonary Nodules,RADIATION: Radiation,NA,INDUSTRY,INTERVENTIONAL,9/14/2016
NCT01763788,A Study of Necitumumab in the First-Line Treatment of Stage IV Squamous Non-Small Cell Lung Cancer (NSCLC),https://clinicaltrials.gov/study/NCT01763788,COMPLETED,YES,Squamous Non-small Cell Lung Cancer,DRUG: Necitumumab|DRUG: Gemcitabine|DRUG: Cisplatin,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,6/26/2018
NCT03531762,Effect of a Proton Pump Inhibitor on the PK of Tepotinib,https://clinicaltrials.gov/study/NCT03531762,COMPLETED,YES,Healthy,DRUG: Tepotinib|DRUG: Omeprazole,PHASE1,INDUSTRY,INTERVENTIONAL,9/7/2022
NCT01876446,Pegylated Irinotecan NKTR 102 in Treating Patients With Relapsed Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01876446,COMPLETED,YES,Recurrent Small Cell Lung Carcinoma,OTHER: Laboratory Biomarker Analysis|DRUG: Pegylated Irinotecan|OTHER: Pharmacological Study,PHASE2,OTHER,INTERVENTIONAL,1/17/2019
NCT03780010,Study of TRC105 + Paclitaxel/Carboplatin and Bevacizumab in Patients With NSCLC,https://clinicaltrials.gov/study/NCT03780010,COMPLETED,YES,Non Small Cell Lung Cancer,DRUG: TRC105,PHASE1,INDUSTRY,INTERVENTIONAL,8/8/2019
NCT03126110,"Phase 1/2 Study Exploring the Safety, Tolerability, and Efficacy of INCAGN01876 Combined With Immune Therapies in Advanced or Metastatic Malignancies",https://clinicaltrials.gov/study/NCT03126110,COMPLETED,YES,Advanced Malignancies|Metastatic Cancer,DRUG: INCAGN01876|DRUG: Nivolumab|DRUG: Ipilimumab,PHASE1|PHASE2,INDUSTRY,INTERVENTIONAL,11/3/2022
NCT03215810,Nivolumab and Tumor Infiltrating Lymphocytes (TIL) in Advanced Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03215810,COMPLETED,YES,Non-Small Cell Lung Cancer|Metastatic Non-small Cell Lung Cancer|Squamous Cell Carcinoma|Advanced NSCLC|Adenosquamous Carcinoma|Adenocarcinomas,PROCEDURE: Tumor-infiltrating Lymphocytes (TIL)|DRUG: Nivolumab|DRUG: Cyclophosphamide|DRUG: Fludarabine|OTHER: Tumor-infiltrating Lymphocyte Therapy|DRUG: Interleukin-2 (IL2),PHASE1,OTHER,INTERVENTIONAL,1/4/2022
NCT01638546,Temozolomide With or Without Veliparib in Treating Patients With Relapsed or Refractory Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT01638546,COMPLETED,YES,Recurrent Small Cell Lung Carcinoma,OTHER: Laboratory Biomarker Analysis|OTHER: Placebo|DRUG: Temozolomide|DRUG: Veliparib,PHASE2,NIH,INTERVENTIONAL,2/27/2018
NCT00045162,S0124: Cisplatin Combined With Irinotecan or Etoposide For Extensive-Stage Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00045162,COMPLETED,YES,Lung Cancer,DRUG: cisplatin|DRUG: etoposide|DRUG: irinotecan hydrochloride,PHASE3,NETWORK,INTERVENTIONAL,4/16/2013
NCT00892710,Trial of Poor Performance Status Patients (ToPPS),https://clinicaltrials.gov/study/NCT00892710,COMPLETED,YES,Non Small Cell Lung Cancer,DRUG: Pemetrexed|DRUG: Bevacizumab|DRUG: Carboplatin,PHASE2,OTHER,INTERVENTIONAL,4/24/2015
NCT00921310,Temsirolimus and Pemetrexed for Recurrent or Refractory Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT00921310,TERMINATED,YES,"Carcinoma, Non-Small-Cell Lung",DRUG: Pemetrexed|DRUG: Temsirolimus,PHASE1|PHASE2,OTHER,INTERVENTIONAL,8/10/2016
NCT00062010,"Interferon Alfa, Isotretinoin, and Paclitaxel in Treating Patients With Recurrent Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT00062010,COMPLETED,YES,Lung Cancer,BIOLOGICAL: interferon alpha|DRUG: 13-cis-retinoic acid|DRUG: paclitaxel,PHASE2,NETWORK,INTERVENTIONAL,12/1/2012
NCT03505710,DS-8201a in Human Epidermal Growth Factor Receptor 2 (HER2)-Expressing or -Mutated Non-Small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03505710,ACTIVE_NOT_RECRUITING,YES,Non-Small Cell Lung Cancer,DRUG: Trastuzumab deruxtecan,PHASE2,INDUSTRY,INTERVENTIONAL,4/25/2022
NCT04647110,Real-world Therapy of ALK-positive NSCLC in Sweden: the Sequencing of ALK Tyrosine Kinase Inhibitor Drugs and Their Therapeutic Outcomes Based on Data From National Registers.,https://clinicaltrials.gov/study/NCT04647110,COMPLETED,YES,ALK-positive NSCLC,DRUG: crizotinib|DRUG: alectinib|DRUG: brigatinib|DRUG: ceritinib|DRUG: lorlatinib,,INDUSTRY,OBSERVATIONAL,3/14/2022
NCT02093962,Study of TH-302 or Placebo in Combination With Pemetrexed in Patients With Non-squamous Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT02093962,TERMINATED,YES,Non-small Cell Lung Cancer,DRUG: TH-302 combination with pemetrexed|DRUG: Matched placebo in combination with pemetrexed,PHASE2,INDUSTRY,INTERVENTIONAL,7/13/2017
NCT04634110,Brigatinib Before Brain Irradiation Trial (B3i Trial),https://clinicaltrials.gov/study/NCT04634110,TERMINATED,YES,Brain Metastases|Lung Cancer,DRUG: Brigatinib,PHASE2,OTHER,INTERVENTIONAL,8/15/2022
